phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
p0_prehold,hold,0.0,3.0,3.0,,5.0,3.0,0.0,0.0,,,,,,,,0,,,,,,,30,,
velocity_2mps_window_01_A_to_B,velocity,3.0,33.0,30.0,,5.0,3.0,3.0,9.0,9.0,12.0,17.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.037574081402881876, 'speed_std_mps': 0.030231738191905298, 'velocity_slope_mps2': 0.02533809768108818, 'speed_slope_mps2': 0.025147585210068272, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,1,2mps,2.0,"[-1.9832368257534425, 0.2584021922805788]","[-1.9804107443089294, 0.22866135842160562]",2.0,1.4937402175060996,299,30,50
velocity_2mps_window_02_B_to_A,velocity,33.0,63.0,30.0,,5.0,3.0,33.0,39.0,39.0,42.0,47.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.05257034014241926, 'speed_std_mps': 0.049011425024022316, 'velocity_slope_mps2': 0.05321927383948037, 'speed_slope_mps2': 0.052990583174405484, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,2,2mps,2.0,"[1.9832368257534425, -0.2584021922805788]","[2.02469378164519, -0.27170142015209986]",2.0,2.176894952557965,299,30,50
velocity_2mps_window_03_A_to_B,velocity,63.0,93.0,30.0,,5.0,3.0,63.0,69.0,69.0,72.0,77.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.07979592195795729, 'speed_std_mps': 0.074630557279819, 'velocity_slope_mps2': 0.08325126881857604, 'speed_slope_mps2': 0.08124280381518992, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,3,2mps,2.0,"[-1.9832368257534425, 0.2584021922805788]","[-2.0116980309758237, 0.2308263608856613]",2.0,1.981455702148937,299,30,50
velocity_2mps_window_04_B_to_A,velocity,93.0,123.0,30.0,,5.0,3.0,93.0,99.0,99.0,102.0,107.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.05483126009091747, 'speed_std_mps': 0.04856909363195877, 'velocity_slope_mps2': 0.050612438231431967, 'speed_slope_mps2': 0.05060859351694217, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,4,2mps,2.0,"[1.9832368257534425, -0.2584021922805788]","[2.0232533358976306, -0.2449350657632647]",2.0,2.1110924782877527,299,30,50
velocity_2mps_window_05_A_to_B,velocity,123.0,153.0,30.0,,5.0,3.0,123.0,129.0,129.0,132.0,137.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.054700077010029755, 'speed_std_mps': 0.04836869774931493, 'velocity_slope_mps2': 0.050666501533241134, 'speed_slope_mps2': 0.05033846364771491, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,5,2mps,2.0,"[-1.9832368257534425, 0.2584021922805788]","[-2.018869117620504, 0.24133388858091365]",2.0,1.975466536595509,299,30,50
velocity_2mps_window_06_B_to_A,velocity,153.0,183.0,30.0,,5.0,3.0,153.0,159.0,159.0,162.0,167.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.05239114499058714, 'speed_std_mps': 0.043162133765481184, 'velocity_slope_mps2': 0.048022331446391606, 'speed_slope_mps2': 0.047032981461538705, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,6,2mps,2.0,"[1.9832368257534425, -0.2584021922805788]","[2.017190610602042, -0.234472619176892]",2.0,2.076947263695976,299,30,50
velocity_2mps_window_07_A_to_B,velocity,183.0,213.0,30.0,,5.0,3.0,183.0,189.0,189.0,192.0,197.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.07980178580332087, 'speed_std_mps': 0.07600033638434357, 'velocity_slope_mps2': 0.08176007137086448, 'speed_slope_mps2': 0.08126214762401848, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,7,2mps,2.0,"[-1.9832368257534425, 0.2584021922805788]","[-2.0178758886573065, 0.23955651725881918]",2.0,1.9716897232346295,299,30,50
velocity_2mps_window_08_B_to_A,velocity,213.0,243.0,30.0,,5.0,3.0,213.0,219.0,219.0,222.0,227.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.05575116784711693, 'speed_std_mps': 0.05113394534948588, 'velocity_slope_mps2': 0.05611449269412559, 'speed_slope_mps2': 0.05571419759892682, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,8,2mps,2.0,"[1.9832368257534425, -0.2584021922805788]","[1.99759344358355, -0.23800684460549476]",2.0,1.2470792700419233,299,30,50
velocity_2mps_window_09_A_to_B,velocity,243.0,273.0,30.0,,5.0,3.0,243.0,249.0,249.0,252.0,257.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.0867582705118389, 'speed_std_mps': 0.07613355376630083, 'velocity_slope_mps2': 0.09019921315666934, 'speed_slope_mps2': 0.08171820802920413, 'endpoint_margin_remaining_m': 32.0, 'endpoint_margin_required_m': 8.0}",E_vel,9,2mps,2.0,"[-1.9832368257534425, 0.2584021922805788]","[-2.007202603109204, 0.22004048454392466]",2.0,2.261625026799532,299,30,50
