wall_time,ros_time,x,y,z,vx,vy,vz,actual_yaw,expected_x,expected_y,expected_z,expected_vx,expected_vy,expected_vz,expected_ax,expected_ay,expected_az,expected_yaw,expected_yaw_dot,pos_cmd_age_sec,position_error_to_expected_m,velocity_error_to_expected_m,yaw_error_rad,mode,armed,active_goal_index,active_goal_x,active_goal_y,active_goal_z,active_goal_distance_m,cross_track_m,along_track_m
1.554,0.992000,-0.002523,0.001566,4.466771,-0.011582,0.008947,0.076204,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548623,57.281999,0.000000
1.591,1.028000,-0.002836,0.001857,4.468839,-0.012067,0.010040,0.076101,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548643,57.282219,0.000000
1.622,1.060000,-0.003151,0.002177,4.470695,-0.012907,0.011113,0.075717,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548677,57.282432,0.000000
1.655,1.096000,-0.003472,0.002513,4.472338,-0.013149,0.012505,0.074972,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548732,57.282646,0.000000
1.692,1.128000,-0.003881,0.002985,4.474087,-0.014254,0.014423,0.074087,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548824,57.282907,0.000000
1.723,1.160000,-0.004257,0.003411,4.475257,-0.007084,0.009650,0.073947,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548953,57.283149,0.000000
1.755,1.192000,-0.004337,0.003647,4.476051,-0.007538,0.010895,0.071813,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548887,57.283160,0.000000
1.793,1.228000,-0.004397,0.003893,4.476683,-0.008012,0.012366,0.071046,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548815,57.283149,0.000000
1.825,1.264000,-0.004471,0.004221,4.477349,-0.008772,0.013132,0.071172,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548731,57.283128,0.000000
1.856,1.292000,-0.004508,0.004416,4.477718,-0.008858,0.014010,0.071492,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548677,57.283109,0.000000
1.893,1.332000,-0.004547,0.004766,4.478312,-0.009102,0.015871,0.072401,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548560,57.283049,0.000000
1.924,1.360000,-0.004607,0.005087,4.478806,-0.009579,0.017090,0.073524,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548481,57.283017,0.000000
1.957,1.392000,-0.004641,0.005344,4.479114,0.015531,0.008915,0.070462,1.570726,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548412,57.282978,0.000000
1.993,1.428000,-0.004666,0.005565,4.479123,0.015327,0.008693,0.063721,1.570742,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548374,57.282940,0.000000
2.026,1.460000,-0.004681,0.005752,4.478878,0.015206,0.008558,0.056954,1.570784,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548360,57.282902,0.000000
2.059,1.492000,-0.004684,0.005905,4.478403,0.015191,0.008443,0.051027,1.570864,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.548366,57.282863,0.000000
2.096,1.528000,-0.004648,0.006035,4.477513,0.014228,0.006990,0.044188,1.570859,0.055125,0.034677,4.500187,0.023874,0.009172,0.051389,0.763902,0.133751,0.077290,0.031416,2.748894,0.008887,0.070052,0.012234,1.539443,,false,0,55.000000,16.000000,10.000000,57.548380,57.282791,0.000000
2.130,1.564000,-0.004583,0.006074,4.476592,0.012903,0.006383,0.038717,1.570873,0.228509,0.110821,4.549144,0.073674,0.024532,0.060238,1.933189,0.751565,0.420184,0.113097,3.117049,0.000793,0.265645,0.066974,1.457775,,false,0,55.000000,16.000000,10.000000,57.548395,57.282718,0.000000
2.160,1.592000,-0.004482,0.006046,4.475528,0.011442,0.005608,0.034074,1.570937,0.308752,0.158581,4.577933,0.148196,0.058560,0.079174,2.689370,1.353135,0.764984,0.163363,3.138525,0.000222,0.363138,0.153426,1.407575,,false,0,55.000000,16.000000,10.000000,57.548409,57.282629,0.000000
2.198,1.628000,-0.004367,0.005957,4.474360,0.010391,0.005650,0.029911,1.570958,0.458539,0.253656,4.634119,0.230680,0.104474,0.104227,3.182260,1.878799,1.017521,0.202693,2.559725,0.008279,0.548781,0.252618,1.368265,,false,0,55.000000,16.000000,10.000000,57.548436,57.282544,0.000000
