wall_time,ros_time,x,y,z,vx,vy,vz,actual_yaw,expected_x,expected_y,expected_z,expected_vx,expected_vy,expected_vz,expected_ax,expected_ay,expected_az,expected_yaw,expected_yaw_dot,pos_cmd_age_sec,position_error_to_expected_m,velocity_error_to_expected_m,yaw_error_rad,mode,armed,active_goal_index,active_goal_x,active_goal_y,active_goal_z,active_goal_distance_m,cross_track_m,along_track_m
2.027,0.640000,0.000015,0.002365,4.434818,0.005181,0.009084,0.656836,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.549057,57.279339,0.000000
2.082,0.672000,0.000077,0.002991,4.476840,0.006002,0.010722,0.594616,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.544775,57.279104,0.000000
2.114,0.704000,0.000144,0.003544,4.504455,0.006257,0.011975,0.544415,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.541913,57.278886,0.000000
2.148,0.736000,0.000236,0.004143,4.526929,0.007165,0.013951,0.497356,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.539517,57.278630,0.000000
2.184,0.776000,0.000380,0.004981,4.548318,0.007253,0.016132,0.444537,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.537115,57.278258,0.000000
2.218,0.804000,0.000518,0.005709,4.560717,0.008153,0.018298,0.407288,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.535607,57.277922,0.000000
2.251,0.840000,0.000631,0.006280,4.567688,0.008390,0.019499,0.381434,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.534682,57.277654,0.000000
2.287,0.872000,0.000828,0.007250,4.575582,0.008861,0.021747,0.343367,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.533480,57.277194,0.000000
2.321,0.908000,0.000960,0.008014,4.579164,0.009236,0.022373,0.317065,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532803,57.276854,0.000000
2.352,0.936000,0.001103,0.008740,4.580816,0.009878,0.023457,0.293428,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532309,57.276514,0.000000
2.388,0.972000,0.001246,0.009439,4.580907,0.010300,0.024887,0.272364,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531970,57.276182,0.000000
2.420,1.004000,0.001375,0.010135,4.579758,0.010415,0.026285,0.253363,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531761,57.275863,0.000000
2.452,1.036000,0.001485,0.010782,4.577656,0.009991,0.026181,0.237149,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531674,57.275577,0.000000
2.486,1.072000,0.001619,0.011556,4.574060,0.010187,0.027078,0.218878,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531670,57.275232,0.000000
2.519,1.104000,0.001691,0.012154,4.570576,0.010059,0.027972,0.205773,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531764,57.274997,0.000000
2.551,1.136000,0.001744,0.012704,4.566745,0.009755,0.029072,0.194664,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.531922,57.274792,0.000000
2.588,1.176000,0.001808,0.013219,4.562675,0.010587,0.029572,0.185230,0.000000,0.001824,0.012937,4.568300,0.008757,0.029113,0.194561,-0.249633,0.010323,-0.025501,0.000000,1.570796,0.011770,0.005633,0.009520,0.000000,,false,0,55.000000,16.000000,10.000000,57.532102,57.274587,0.000000
2.620,1.204000,0.001893,0.013747,4.558469,0.010590,0.029877,0.176153,0.000000,0.173740,0.059662,4.553248,0.003799,0.035221,0.184317,0.594580,0.419333,-0.611583,0.062832,3.043418,0.004917,0.177952,0.011887,-0.062832,,false,0,55.000000,16.000000,10.000000,57.532272,57.274357,0.000000
